gene_symbol,gene_id,num_methods,methods,mean_corr_rank_score,mean_correlation,mean_abs_correlation,geo_mean_p_value,correlation_score,expression_level,expression_variability_cv,expression_level_score,expression_stability_score,mean_rank_stability_perc,rank_stability_score,final_score
Galr2,ENSCGRT00001004246,1,regression,1301074.319198794,22132.519624514054,22132.519624514054,0.017010957151191716,9.907461405210416e-10,0.9875599999999999,1.4803406243723272,0.42697912091692336,0.3979669697011483,0.0,0.0,0.1877887821265477
Braf,ENSCGRT00001028055,2,"pearson, regression",5461291469.378418,8331.317413176857,8331.317413176857,1.5254214741587683e-06,4.158681303370215e-06,2.50005375,1.481844316145218,0.42707839603043635,0.3976608886683253,0.0,0.0,0.18777431558190102
Nexmif,ENSCGRT00001021024,1,regression,151536472.5169793,28928.932433942977,28928.932433942977,0.00019090399030539875,1.153924668859987e-07,1.15005625,1.4813488771474346,0.4269897863542397,0.3977617279528096,0.0,0.0,0.1877612412561801
ENSCGRG00001010723,ENSCGRT00001012563,1,regression,3077359.51178383,38087.5410520448,38087.5410520448,0.012376695214993239,2.343357342702036e-09,0.600065,1.4811321498506747,0.4269536879662856,0.39780584232008087,0.0,0.0,0.1877569836752407
ENSCGRG00001007163,ENSCGRT00001008396,1,regression,136527710.3009022,27865.99524528165,27865.99524528165,0.00020410495079053925,1.0396354770732077e-07,1.18755375,1.4831420495918823,0.4269922475113577,0.39739679541296713,0.0,0.0,0.18770723515077148
ENSCGRG00001021279,ENSCGRT00001027121,1,regression,2514929.330398939,65294.7221994927,65294.7221994927,0.02596284561906246,1.915076249687479e-09,0.31256875,1.4827651651130658,0.42693481860996907,0.3974734865605124,0.0,0.0,0.18770146933309806
Flrt1,ENSCGRT00001013809,1,regression,1407417.1690662664,36311.47431559148,36311.47431559148,0.025800079019172514,1.0717244263295626e-09,0.5625600000000001,1.4830095958905274,0.4269512263735665,0.397423747464671,0.0,0.0,0.18769893046046035
Noxa1,ENSCGRT00001009183,2,"spearman, regression",711725.4944909181,-39.470305281380604,39.470305281380604,0.0001263982680254476,5.419669548250973e-10,216.71254374999998,1.6254345493731943,0.44119428258645776,0.3688321949593565,0.0,0.0,0.1876831142366276
Ptpn3,ENSCGRT00001018325,1,regression,4368562.944415199,23257.164799770962,23257.164799770962,0.005323756269243367,3.3265869696574113e-09,1.08755375,1.4839879103706943,0.4269856839961761,0.3972246919689214,0.0,0.0,0.18767941032482582
Stam2,ENSCGRT00001030868,1,regression,24350193.25756358,6037.2117491814815,6037.2117491814815,0.00024793270633640253,1.8542261295057133e-08,5.400046250000001,1.487123467755018,0.4272687584209456,0.39658693648261134,0.0,0.0,0.18766867541557988
Tssk3,ENSCGRT00001016146,2,"pearson, regression",84653168605.72255,3677.1176857121727,3677.1176857121727,4.333744890210306e-08,6.446195950639002e-05,6.287541249999999,1.489250489941633,0.4273270200069141,0.39615451150517866,0.0,0.0,0.18764706751165355
Far1,ENSCGRT00001018697,1,regression,21814.522294716357,265.90563205956977,265.90563205956977,0.012189385872663461,1.6611390642242168e-11,82.90002124999998,1.5388324389774533,0.43236384956783097,0.386121735833423,0.0,0.0,0.18762741525200727
Cpeb4,ENSCGRT00001027917,1,regression,4877643.818196811,3989.7877838726195,3989.7877838726195,0.0008179743016953623,3.714243465116337e-09,7.500047500000001,1.4901018933684083,0.42740662093876913,0.39598146608834195,0.0,0.0,0.1876192076805794
Zfp101,ENSCGRT00001019937,1,regression,2140368.1648439695,6940.99420936386,6940.99420936386,0.0032428972311093203,1.6298542422381501e-09,3.8248687500000003,1.4892161058710536,0.4271653573550638,0.39616150051996446,0.0,0.0,0.1875738329364555
Sybu,ENSCGRT00001004481,1,regression,4319680998.446689,11756.413473808081,11756.413473808081,2.7214929782860247e-06,3.289364192607072e-06,3.4500487499999997,1.4899063017754437,0.4271407535809357,0.39602121724176476,0.0,0.0,0.18754672440622244
Dmpk,ENSCGRT00001007283,2,"pearson, regression",498278468.7700623,494.9997889274862,494.9997889274862,9.933199849118978e-07,3.794306463159428e-07,41.80001874999999,1.5150133931849183,0.4296599535425777,0.3909299637063728,0.0,0.0,0.18753763239098775
Rarb,ENSCGRT00001000285,1,regression,494853.70868625114,-11927.191463787784,11927.191463787784,0.024102459383333698,3.768227492994711e-10,1.72505,1.4891691825185407,0.42702752659974197,0.39617103837722345,0.0,0.0,0.1875339138872352
ENSCGRG00001000079,ENSCGRT00001000081,1,regression,513478.8860881157,18482.555232972743,18482.555232972743,0.03599477151325975,3.910055076209022e-10,1.0375524999999999,1.4887567943474722,0.4269824021661834,0.3962548656967184,0.0,0.0,0.18753295066076495
Ppp1r14a,ENSCGRT00001007977,1,regression,1126905.0938017748,21609.4436822465,21609.4436822465,0.01917592145817129,8.581192142084097e-10,0.9875562499999999,1.4889817318359864,0.42697912067079297,0.3962091412561356,0.0,0.0,0.1875251077329059
Col25a1,ENSCGRT00001019775,2,"spearman, regression",115589273.56796406,8759.680747397206,8759.680747397206,1.4595881679522653e-06,8.801928143782964e-08,1.8000525,1.639529343071969,0.4270324495207056,0.366048559134332,3.0,0.03,0.18751705393407406
ENSCGRG00001021236,ENSCGRT00001027047,1,regression,1083772.0482609735,8654.180674472209,8654.180674472209,0.007985240604776204,8.252741278302674e-10,2.7750275,1.4912077024092245,0.4270964450340285,0.39575675230898144,0.0,0.0,0.18749244668666543
Doc2g,ENSCGRT00001022920,1,regression,130803031.61404589,15130.501366003306,15130.501366003306,0.00011567383491802342,9.96043014820793e-08,2.2500375,1.4915038959857452,0.42706198538086787,0.3956965696600697,0.0,0.0,0.1874731209049914
Plekhf1,ENSCGRT00001017121,1,spearman,367433.85770642717,0.5095204298521033,0.5095204298521033,1.386599726129215e-06,2.7979468278458797e-10,7.425043750000002,1.4956001379442367,0.42740169683986373,0.3948645917567033,0.0,0.0,0.18745019792738246
Ly6g6c,ENSCGRT00001024400,1,regression,2837989.659052968,16723.112614992486,16723.112614992486,0.005892591002877013,2.1610812388310196e-09,1.4875474999999998,1.4918293768474613,0.4270119378009254,0.3956304398627599,0.0,0.0,0.18744814818412409
Rgs3,ENSCGRT00001023343,1,regression,196728.65830634692,-2672.142540479074,2672.142540479074,0.013582883875744899,1.4980555381872503e-10,8.3500275,1.4978489142983076,0.4274624242947688,0.39440810669135795,0.0,0.0,0.18739994335205656
Cnr2,ENSCGRT00001002114,1,regression,1450881.0536687453,26040.681134140454,26040.681134140454,0.017948184603558657,1.1048214410707925e-09,0.8250599999999999,1.4939387993875928,0.42696845530137595,0.39520194913211404,0.0,0.0,0.18737082940215846
Sema6d,ENSCGRT00001007129,1,regression,686700.5248034919,22263.53583390425,22263.53583390425,0.03242102628595658,5.229108626644732e-10,0.8750599999999998,1.4940581579641448,0.42697173702200414,0.3951777084188042,0.0,0.0,0.1873681775785862
Rce1,ENSCGRT00001012401,1,regression,454667.35302493727,8141.042248566769,8141.042248566769,0.01790549101213678,3.462215175438781e-10,2.63755,1.4953604599268397,0.42708742112332954,0.3949132554625133,0.0,0.0,0.18736321479486445
Fgf14,ENSCGRT00001019467,2,"spearman, regression",6395656.947920448,9883.132922855393,9883.132922855393,2.7218469408022634e-05,4.870184849356484e-09,1.3750512499999998,1.5443029619072788,0.42700455400752724,0.38502052200123726,1.0,0.01,0.18735444645051771
Parp6,ENSCGRT00001019963,1,regression,588398.4848075822,1693.073907818626,1693.073907818626,0.002877427275381997,4.48055517897337e-10,15.70005375,1.504930555044731,0.4279450491279189,0.3929717922262995,0.0,0.0,0.1873292837515428
Tomm34,ENSCGRT00001029784,1,regression,9704.854114876338,-298.9766003182515,298.9766003182515,0.030806913304288835,7.390082654582299e-12,63.95002999999999,1.5364458216217745,0.4311166525646285,0.3866025268866601,0.0,0.0,0.18732537480534356
Msl1,ENSCGRT00001016859,1,regression,30827.40514467206,-742.905993626288,742.905993626288,0.02409888172738226,2.3474548854496103e-11,27.262532500000002,1.5128451966240763,0.42870455351282993,0.39136871551416286,0.0,0.0,0.18731667339036323
Chac2,ENSCGRT00001003464,1,regression,695518.086206431,1048.5145399630644,1048.5145399630644,0.0015075301292741007,5.29625286890561e-10,26.725018750000004,1.514185386031534,0.4286692383812491,0.3910974967630849,0.0,0.0,0.18726539624068755
Tubgcp6,ENSCGRT00001028269,1,regression,24614.08592969932,-529.0271095993744,529.0271095993744,0.02149286017156714,1.8743211112121595e-11,38.76255749999999,1.5221424043160057,0.4294602887773203,0.38948859782533873,0.0,0.0,0.18726137631449416
Kcnh5,ENSCGRT00001008689,1,spearman,272126.60046616086,0.5042511507577823,0.5042511507577823,1.852902058211086e-06,2.0721981455370368e-10,7.300042500000001,1.5020657541674838,0.42739349036857754,0.3935526162332994,0.0,0.0,0.18725093962845607
ENSCGRG00001002687,ENSCGRT00001003244,1,regression,1343977.092235614,20422.532156342706,20422.532156342706,0.015195595326683367,1.0234158782728827e-09,1.0750487499999999,1.4982332950393409,0.4269848632304112,0.3943300986373308,0.0,0.0,0.18724497417408933
Cog1,ENSCGRT00001023044,1,regression,15475.900424267315,-576.7550343503347,576.7550343503347,0.03726794674243003,1.1784637042004422e-11,32.3750575,1.5189083781063142,0.4290404872027254,0.39014222577789226,0.0,0.0,0.18723348003221532
Il21r,ENSCGRT00001016901,2,"pearson, regression",73478480537.79405,8351.591899080018,8351.591899080018,1.1356037835777401e-07,5.595262309765633e-05,2.67503375,1.5008676653840811,0.42708988152122107,0.393795612096679,0.0,0.0,0.18721868732010724
Magel2,ENSCGRT00001016833,1,regression,4577666796.145821,23627.92406732115,23627.92406732115,5.161464858153226e-06,3.48581602445712e-06,1.6625562500000002,1.50050602772321,0.4270234247236191,0.39386896962496265,0.0,0.0,0.18718876718723987
Ica1l,ENSCGRT00001023772,1,regression,477313.2265115416,9325.613857455335,9325.613857455335,0.019537723431383935,3.6346596809102087e-10,2.2625574999999998,1.5016405857655213,0.42706280716896333,0.3936388426876489,0.0,0.0,0.18716466869922274
Kcnip2,ENSCGRT00001024533,1,regression,575126125.7316896,12396.20022755592,12396.20022755592,2.1553781266974548e-05,4.379488404108829e-07,2.97504375,1.5022437745083475,0.42710957402380084,0.39351651471349525,0.0,0.0,0.1871605245937007
ENSCGRG00001001711,ENSCGRT00001002146,1,regression,5065.4816844182415,243.54600878958894,243.54600878958894,0.04807953585780489,3.857278830780299e-12,71.5375,1.5470334048568364,0.43161591927398996,0.38447132457018307,0.0,0.0,0.18715547446926734
Sun1,ENSCGRT00001025296,1,regression,60357843.87851478,796.519229426732,796.519229426732,1.3196515025379724e-05,4.596147967138012e-08,46.4625275,1.5308534975206822,0.42996648384553293,0.3877299818060904,0.0,0.0,0.18714946080916534
Septin14,ENSCGRT00001023240,3,"pearson, spearman, regression",492994573302.01886,712.7840394973736,712.7840394973736,4.010088088603785e-09,0.0003754070490743152,22.2625175,1.5697846284575794,0.42837607616251433,0.37990673674755593,1.0,0.01,0.18714899618051742
