gene_id,anova_pvalue,kruskal_pvalue,anova_pvalue_adj,kruskal_pvalue_adj
ENSCGRT00001000085,0.008687997336458489,0.005478122601966408,0.04302573529600081,0.08063954897499219
ENSCGRT00001000086,,1.0,,1.0
ENSCGRT00001000087,0.548649404875079,1.0,0.6306535915015167,1.0
ENSCGRT00001000088,,1.0,,1.0
ENSCGRT00001000089,0.04553230243430428,0.819767653448408,0.10704117298833031,1.0
ENSCGRT00001000090,0.01720145497224304,0.08379708152184472,0.0595904221114765,0.3042547623334389
ENSCGRT00001000091,,1.0,,1.0
ENSCGRT00001000092,0.4402188381791714,0.13798062507702474,0.554024401818393,0.4104237596443323
ENSCGRT00001000093,0.058967130017894075,0.16664006265029882,0.12845388762260454,0.46074884862519994
ENSCGRT00001000094,0.45547257116236495,0.7877201470834945,0.5677656821707369,1.0
ENSCGRT00001000095,0.961464908764665,0.18715857803581532,0.9711789752515129,0.4954982062051953
ENSCGRT00001000096,0.0013384609208243327,1.0,0.025059669939705903,1.0
ENSCGRT00001000097,0.005162354024909672,0.00892740681099916,0.03632508209992738,0.10224237854887988
ENSCGRT00001000098,0.31783334819632286,1.0,0.430836646032344,1.0
ENSCGRT00001000099,0.05846160729990482,0.39648186684810705,0.12765688740156675,0.827372168677206
ENSCGRT00001000100,0.360138863095825,1.0,0.47375586256550906,1.0
ENSCGRT00001000101,0.0020959037729754598,0.12615009032719382,0.02836031825375571,0.3877586111596696
ENSCGRT00001000102,0.016261821924024387,0.3631995387818208,0.05785509854160081,0.7777287961188849
ENSCGRT00001000103,0.06896290945030006,0.14948033725357499,0.1438849518603554,0.43190234543263334
ENSCGRT00001000104,0.02137072680995125,0.04084283409117874,0.06671900243643478,0.20863940858341026
ENSCGRT00001000105,0.0011390582806238053,0.0019713484524017527,0.02412374140324794,0.05032809340551685
ENSCGRT00001000106,0.2869481074656892,0.5554216436615499,0.4139334878443825,1.0
ENSCGRT00001000107,0.14210822968970957,0.24726604203948904,0.2452871614970614,0.5959557994583009
ENSCGRT00001000108,0.010857880083722208,0.05900846131783313,0.04684406404004873,0.2509477331448736
ENSCGRT00001000109,0.01804736419744148,0.13793678461834488,0.06073712820276049,0.4103693899200158
ENSCGRT00001000110,0.05894329352398232,0.1095304245747704,0.1284184762684002,0.3550664853167201
ENSCGRT00001000111,0.0036274489876146733,1.0,0.0325945029190476,1.0
ENSCGRT00001000112,0.548649404875079,1.0,0.6306535915015167,1.0
ENSCGRT00001000113,0.7217155050914494,0.7719246660871776,0.7779147878420956,1.0
ENSCGRT00001000114,0.03001929068581554,0.04258609896776189,0.08187486421704636,0.21300241977181195
ENSCGRT00001000115,0.23725550055887215,0.5152471103855784,0.3556261950983176,0.998117770642563
ENSCGRT00001000116,0.0029454863370276508,0.004248397431555279,0.030983738262322147,0.07223162564214235
ENSCGRT00001000117,0.024279376456249353,0.04270351665076093,0.07177250647046036,0.2131921304934543
ENSCGRT00001000118,0.002735435903478842,1.0,0.0304541635932622,1.0
ENSCGRT00001000119,0.5201354832790854,1.0,0.6305284686707201,1.0
ENSCGRT00001000120,0.5822718725061008,1.0,0.6577040427245175,1.0
ENSCGRT00001000121,0.26622422101202564,0.41439314646796754,0.390092329110997,0.8538438418305194
